run_mode,scenario_name,lambda_execution,late_delivery_rate_anchor,source,fallback_used,method_name,method_family,method_variant,strategy,WAPE,inventory_cost,planning_volatility,execution_penalty,execution_violation_rate,model_switch_count,max_period_plan_change_pct,normalized_inventory_component,normalized_volatility_component,normalized_execution_component,normalized_switch_component,normalized_total_loss,rank_by_normalized_total_loss,rank_by_WAPE,rank_by_execution_penalty,gap_to_oracle,smoothing_alpha,ensemble_weight_basis,ensemble_weight_entropy,selected_blend,validation_cv_normalized_loss
quick,dataco_median,0.326,0.552,dataco_derived,False,Scenario Alpha,FeasibilityAwareSmoothed,scenario_based_alpha,feasibility_aware_smoothed_scenario_alpha,0.108,3603649.042,222.306,22325.997,0.042,161,0.383,1.197,0.268,0.013,0.43,1.909,12,2,4,0.372,0.5,,,,2.079
quick,dataco_median,0.326,0.552,dataco_derived,False,Smoothed Alpha 0.50,FeasibilityAwareSmoothed,fixed_alpha_smoothing,feasibility_aware_smoothed_alpha_0_50,0.108,3603649.042,222.306,22325.997,0.042,161,0.383,1.197,0.268,0.013,0.43,1.909,12,2,4,0.372,0.5,,,,2.079
quick,dataco_median,0.326,0.552,dataco_derived,False,Stability-Aware,Baseline,,stability_aware_selector,0.113,3251369.903,384.274,402775.817,0.258,213,0.531,1.08,0.463,0.241,0.57,2.353,14,10,12,0.816,,,,,
quick,dataco_median,0.326,0.552,dataco_derived,False,Smoothed Alpha 0.75,FeasibilityAwareSmoothed,fixed_alpha_smoothing,feasibility_aware_smoothed_alpha_0_75,0.109,3170260.445,313.93,163019.775,0.16,440,0.526,1.053,0.378,0.097,1.176,2.705,15,5,10,1.168,0.75,,,,2.069
quick,dataco_median,0.326,0.552,dataco_derived,False,Feasibility-Aware,Baseline,,feasibility_aware_selector,0.116,3375551.068,364.328,365116.914,0.232,781,0.581,1.121,0.439,0.218,2.088,3.866,16,11,11,2.33,,,,,
quick,dataco_severe,0.5,0.901,dataco_derived,False,Simple Ensemble,ReferenceEnsemble,,simple_ensemble,0.129,3412038.615,246.143,47421.135,0.066,0,0.578,1.133,0.297,0.043,0.0,1.473,1,15,6,-0.28,,,,,
quick,dataco_severe,0.5,0.901,dataco_derived,False,Constrained Ensemble,FeasibilityAwareEnsemble,constrained_weighted_ensemble,feasibility_aware_ensemble_constrained,0.121,3234958.609,277.183,95796.86,0.116,0,0.589,1.074,0.334,0.088,0.0,1.496,2,13,7,-0.258,,blocked_cv_normalized_planning_loss,0.978,0.0,1.717
quick,dataco_severe,0.5,0.901,dataco_derived,False,Operational Ensemble,FeasibilityAwareEnsemble,inverse_operational_loss_weighted_ensemble,feasibility_aware_ensemble_inverse_operational_loss,0.121,3234958.609,277.183,95796.86,0.116,0,0.589,1.074,0.334,0.088,0.0,1.496,2,13,7,-0.258,,validation_normalized_operational_loss,0.978,,
quick,dataco_severe,0.5,0.901,dataco_derived,False,Accuracy Ensemble,FeasibilityAwareEnsemble,inverse_accuracy_weighted_ensemble,feasibility_aware_ensemble_inverse_accuracy,0.117,3157861.074,303.581,154524.33,0.16,0,0.632,1.049,0.366,0.142,0.0,1.556,4,12,9,-0.198,,validation_wape,0.951,,
quick,dataco_severe,0.5,0.901,dataco_derived,False,Smoothed Alpha 0.25,FeasibilityAwareSmoothed,fixed_alpha_smoothing,feasibility_aware_smoothed_alpha_0_25,0.109,4516026.042,108.979,64.922,0.001,10,0.21,1.5,0.131,0.0,0.023,1.655,5,7,4,-0.099,0.25,,,,1.995
quick,dataco_severe,0.5,0.901,dataco_derived,False,Oracle,Oracle,,oracle_realized_demand,0.0,1633182.571,487.867,680523.022,0.345,0,1.351,0.542,0.588,0.623,0.0,1.754,6,1,16,0.0,,,,,
quick,dataco_severe,0.5,0.901,dataco_derived,False,Best Stability,Baseline,,best_stability_model,0.188,5263648.54,14.814,0.0,0.0,0,0.184,1.748,0.018,0.0,0.0,1.766,7,16,1,0.012,,,,,
quick,dataco_severe,0.5,0.901,dataco_derived,False,Scenario Alpha,FeasibilityAwareSmoothed,scenario_based_alpha,feasibility_aware_smoothed_scenario_alpha,0.109,5373682.296,42.201,0.0,0.0,0,0.095,1.785,0.051,0.0,0.0,1.836,8,3,1,0.082,0.1,,,,1.98
quick,dataco_severe,0.5,0.901,dataco_derived,False,Utility Alpha,FeasibilityAwareSmoothed,utility_based_alpha,feasibility_aware_smoothed_utility_alpha,0.109,5373682.296,42.201,0.0,0.0,0,0.095,1.785,0.051,0.0,0.0,1.836,8,3,1,0.082,0.1,,,,1.98
quick,dataco_severe,0.5,0.901,dataco_derived,False,Smoothed Alpha 0.50,FeasibilityAwareSmoothed,fixed_alpha_smoothing,feasibility_aware_smoothed_alpha_0_50,0.108,3606976.56,222.117,22020.98,0.041,172,0.383,1.198,0.268,0.02,0.404,1.89,10,2,5,0.136,0.5,,,,2.086
quick,dataco_severe,0.5,0.901,dataco_derived,False,Best Inventory,Baseline,,best_inventory_cost_model,0.109,3010924.926,414.964,546133.345,0.284,0,0.764,1.0,0.5,0.5,0.0,2.0,11,5,14,0.247,,,,,
quick,dataco_severe,0.5,0.901,dataco_derived,False,Global Best,Baseline,,global_best_model,0.109,3010924.926,414.964,546133.345,0.284,0,0.764,1.0,0.5,0.5,0.0,2.0,11,5,14,0.247,,,,,
quick,dataco_severe,0.5,0.901,dataco_derived,False,Family Best,Baseline,,family_best_model,0.11,3064462.341,411.535,537406.724,0.279,0,0.764,1.018,0.496,0.492,0.0,2.006,13,9,13,0.252,,,,,
quick,dataco_severe,0.5,0.901,dataco_derived,False,Stability-Aware,Baseline,,stability_aware_selector,0.113,3251369.903,384.274,402775.817,0.258,213,0.531,1.08,0.463,0.369,0.5,2.412,14,10,12,0.658,,,,,
quick,dataco_severe,0.5,0.901,dataco_derived,False,Smoothed Alpha 0.75,FeasibilityAwareSmoothed,fixed_alpha_smoothing,feasibility_aware_smoothed_alpha_0_75,0.109,3198150.792,312.326,157587.663,0.159,482,0.526,1.062,0.376,0.144,1.131,2.714,15,8,10,0.961,0.75,,,,2.121
quick,dataco_severe,0.5,0.901,dataco_derived,False,Feasibility-Aware,Baseline,,feasibility_aware_selector,0.116,3375551.068,364.328,365116.914,0.232,781,0.581,1.121,0.439,0.334,1.833,3.728,16,11,11,1.974,,,,,
