scenario_name,lambda_execution,objective_name,method_name,method_family,strategy,metric_value,objective_rank
baseline,0.05,model_switch_count,Smoothed Alpha 0.50,FeasibilityAwareSmoothed,feasibility_aware_smoothed_alpha_0_50,132.0,12
baseline,0.05,model_switch_count,Stability-Aware,Baseline,stability_aware_selector,213.0,13
baseline,0.05,model_switch_count,Scenario Alpha,FeasibilityAwareSmoothed,feasibility_aware_smoothed_scenario_alpha,380.0,14
baseline,0.05,model_switch_count,Smoothed Alpha 0.75,FeasibilityAwareSmoothed,feasibility_aware_smoothed_alpha_0_75,380.0,14
baseline,0.05,model_switch_count,Feasibility-Aware,Baseline,feasibility_aware_selector,781.0,16
baseline,0.05,normalized_total_loss,Oracle,Oracle,oracle_realized_demand,1.193,1
baseline,0.05,normalized_total_loss,Operational Ensemble,FeasibilityAwareEnsemble,feasibility_aware_ensemble_inverse_operational_loss,1.422,2
baseline,0.05,normalized_total_loss,Accuracy Ensemble,FeasibilityAwareEnsemble,feasibility_aware_ensemble_inverse_accuracy,1.429,3
baseline,0.05,normalized_total_loss,Constrained Ensemble,FeasibilityAwareEnsemble,feasibility_aware_ensemble_constrained,1.429,3
baseline,0.05,normalized_total_loss,Simple Ensemble,ReferenceEnsemble,simple_ensemble,1.434,5
baseline,0.05,normalized_total_loss,Best Inventory,Baseline,best_inventory_cost_model,1.55,6
baseline,0.05,normalized_total_loss,Global Best,Baseline,global_best_model,1.55,6
baseline,0.05,normalized_total_loss,Family Best,Baseline,family_best_model,1.563,8
baseline,0.05,normalized_total_loss,Smoothed Alpha 0.25,FeasibilityAwareSmoothed,feasibility_aware_smoothed_alpha_0_25,1.646,9
baseline,0.05,normalized_total_loss,Smoothed Alpha 0.50,FeasibilityAwareSmoothed,feasibility_aware_smoothed_alpha_0_50,1.687,10
baseline,0.05,normalized_total_loss,Best Stability,Baseline,best_stability_model,1.766,11
baseline,0.05,normalized_total_loss,Utility Alpha,FeasibilityAwareSmoothed,feasibility_aware_smoothed_utility_alpha,1.836,12
baseline,0.05,normalized_total_loss,Stability-Aware,Baseline,stability_aware_selector,1.939,13
baseline,0.05,normalized_total_loss,Scenario Alpha,FeasibilityAwareSmoothed,feasibility_aware_smoothed_scenario_alpha,2.085,14
baseline,0.05,normalized_total_loss,Smoothed Alpha 0.75,FeasibilityAwareSmoothed,feasibility_aware_smoothed_alpha_0_75,2.085,14
baseline,0.05,normalized_total_loss,Feasibility-Aware,Baseline,feasibility_aware_selector,2.911,16
baseline,0.05,planning_volatility,Best Stability,Baseline,best_stability_model,14.814,1
baseline,0.05,planning_volatility,Utility Alpha,FeasibilityAwareSmoothed,feasibility_aware_smoothed_utility_alpha,42.201,2
baseline,0.05,planning_volatility,Smoothed Alpha 0.25,FeasibilityAwareSmoothed,feasibility_aware_smoothed_alpha_0_25,109.008,3
baseline,0.05,planning_volatility,Smoothed Alpha 0.50,FeasibilityAwareSmoothed,feasibility_aware_smoothed_alpha_0_50,223.073,4
baseline,0.05,planning_volatility,Simple Ensemble,ReferenceEnsemble,simple_ensemble,246.143,5
baseline,0.05,planning_volatility,Operational Ensemble,FeasibilityAwareEnsemble,feasibility_aware_ensemble_inverse_operational_loss,288.69,6
